Partie d'AI 40% contre l'AI 50%,Victoires,Défaites,,,,,,,,,,,,,,
Partie d'AI 62% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(62),679,321,P2(65),,,,,,,,,,,,,
Partie d'AI 62% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(62),871,129,P2(80),,,,,,,,,,,,,
Partie d'AI 63% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(63),600,400,P2(50),,,,,,,,,,,,,
Partie d'AI 63% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(63),653,347,P2(65),,,,,,,,,,,,,
Partie d'AI 63% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(63),884,116,P2(80),,,,,,,,,,,,,
Partie d'AI 64% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(64),592,408,P2(50),,,,,,,,,,,,,
Partie d'AI 64% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(64),652,348,P2(65),,,,,,,,,,,,,
Partie d'AI 64% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(64),879,121,P2(80),,,,,,,,,,,,,
Partie d'AI 66% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(66),592,408,P2(50),,,,,,,,,,,,,
Partie d'AI 66% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(66),660,340,P2(65),,,,,,,,,,,,,
Partie d'AI 66% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(66),883,117,P2(80),,,,,,,,,,,,,
Partie d'AI 67% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(67),601,399,P2(50),,,,,,,,,,,,,
Partie d'AI 67% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(67),612,388,P2(65),,,,,,,,,,,,,
Partie d'AI 67% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(67),876,124,P2(80),,,,,,,,,,,,,
Partie d'AI 68% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(68),583,417,P2(50),,,,,,,,,,,,,
Partie d'AI 68% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(68),603,397,P2(65),,,,,,,,,,,,,
Partie d'AI 68% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(68),854,146,P2(80),,,,,,,,,,,,,
Partie d'AI 69% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(69),596,404,P2(50),,,,,,,,,,,,,
Partie d'AI 69% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(69),624,376,P2(65),,,,,,,,,,,,,
Partie d'AI 69% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(69),866,134,P2(80),,,,,,,,,,,,,
Partie d'AI 70% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(70),591,409,P2(50),,,,,,,,,,,,,
Partie d'AI 70% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(70),618,382,P2(65),,,,,,,,,,,,,
Partie d'AI 70% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(70),868,132,P2(80),,,,,,,,,,,,,
